date,author_code,author_name,poem_title,
2026-02-04,BG,Gwendolyn Brooks,The Bean Eaters,
2026-02-05,TB,William Butler Yeats,"Easter, 1916",
2026-02-06,WA,Walt Whitman,Song of Myself,
2026-02-07,FR,Robert Frost,Mending Wall,
2026-02-08,PL,Paul Laurence Dunbar,We Wear the Mask,
2026-02-09,LC,Lewis Carroll,The Jabberwocky,
2026-02-10,JMD,John Milton,Paradise Lost: Book 1,
2026-02-11,GA,Allen Ginsberg,A Supermarket in California,
2026-02-12,ATP,Alfred Lord Tennyson,Ulysses,
2026-02-13,GS,Gertrude Stein,Sacred Emily,
2026-02-14,FR,Robert Frost,Mending Wall,
2026-02-15,TS,T.S. Eliot,The Waste Land,
2026-02-16,WSJ,Wallace Stevens,Anecdote of the Jar,
2026-02-17,FO,Frank O'Hara,Having a Coke With You,
2026-02-18,THG,Ted Hughes,The Thought-Fox,
2026-02-19,SS,Stevie Smith,Not Waving But Drowning,
2026-02-20,WW,William Wordsworth,I wandered Lonely as a Cloud,
2026-02-21,LB,Lord Byron,She Walks in Beauty,
2026-02-22,MM,Marianne Moore,Poetry,
2026-02-23,SAC,Sandra Cisneros,The House on Mango Street,
2026-02-24,TZ,Tristan Tzara,To Make a Dadaist Poem,
2026-02-25,RNFI,Robert Frost,Fire and Ice,
2026-02-26,JD,John Donne,A Valediction: Forbidding Mourning,
2026-02-27,SC,Samuel Taylor Coleridge,Kubla Khan,
2026-02-28,ma,Maya Angelou,Still I Rise,
2026-03-01,EB,Elizabeth Bishop,One Art,
2026-03-02,NM,John Donne,Devotions upon Emergent Occasions,
2026-03-03,TE,T.S. Eliot,The Love Song of J. Alfred Prufrock,
2026-03-04,RF,Robert Frost,Stopping By Woods on a Snowy Evening,
2026-03-05,MMO,Marianne Moore,An Octopus,
2026-03-06,HLD,Langston Hughes,Dreams,
2026-03-07,PTR,Paul Tran,The Cave,
2026-03-08,WSMV,William Shakespeare,The Merchant of Venice,
2026-03-09,JWJ,James Weldon Johnson,The Creation,
2026-03-10,ECC,E.E. Cummings,[i carry your heart with me(i carry it in],
2026-03-11,SSB,Shel Silverstein,Masks,
2026-03-12,ESL,Edna St. Vincent Millay,Love Is Not All,
2026-03-13,DP,John Donne,"Death, be not proud",
2026-03-14,CBS,Charles Bukowski,so you want to be a writer?,
2026-03-15,PW,Billy Collins,Cheerios,
2026-03-16,PS,Percy Shelley,Ozymandias,
2026-03-17,MOH,Mary Oliver,Happiness,
2026-03-18,ESM,Edna St. Vincent Millay,First Fig,
2026-03-19,SSSI,Shel Silverstein,Sick,
2026-03-20,CK,Carole King,I Feel the Earth Move,
2026-03-21,KG,Khalil Gibran,On Marriage,
2026-03-22,MH,Gerard Manley Hopkins,God's Grandeur,
2026-03-23,AG,Toni Morrison,Beloved,
2026-03-24,SP,Sylvia Plath,Lady Lazarus,
2026-03-25,PLA,Philip Larkin,This Be The Verse,
2026-03-26,EDF,Emily Dickinson,I heard a Fly buzz - when I died -,
2026-03-27,CB,Charles Bukowski,bluebird,
2026-03-28,WB,William Blake,The Tyger,
2026-03-29,EC,E.E. Cummings,anyone lived in a pretty how town,
2026-03-30,WR,Ernest Dowson,Vitae Summa Brevis Spem Nos Vetat Incohare Longam,
2026-03-31,WW,William Wordsworth,I wandered Lonely as a Cloud,
2026-04-01,ED,Emily Dickinson,I’m Nobody! Who are you? (260),
2026-04-02,LH,Langston Hughes,Weary Blues,
2026-04-03,EB,Elizabeth Bishop,One Art,
2026-04-04,WBL,William Blake,The Lamb,
2026-04-05,EM,Edna St. Vincent Millay,"What lips my lips have kissed, and where, and why",
2026-04-06,RHA,Robert Hayden,Those Winter Sundays,
2026-04-07,AR,Adrienne Rich,Aunt Jennifer's Tigers,
2026-04-08,JD,John Donne,A Valediction: Forbidding Mourning,
2026-04-09,LB,Lord Byron,She Walks in Beauty,
2026-04-10,CM,Claude McKay,If We Must Die,
2026-04-11,EE,E.E. Cummings,[little tree],
2026-04-12,LYL,Li-Young Lee,Persimmons,
2026-04-13,RK,Rupi Kaur,milk and honey,
2026-04-14,THG,Ted Hughes,The Thought-Fox,
2026-04-15,WC,William Carlos Williams,This Is Just to Say,
2026-04-16,MA,Maya Angelou,Still I Rise,
2026-04-17,SPH,Sappho,"[""I asked myself""]",
2026-04-18,WR,Ernest Dowson,Vitae Summa Brevis Spem Nos Vetat Incohare Longam,
2026-04-19,PS,Percy Shelley,Ozymandias,
2026-04-20,CW,William Carlos Williams,The Red Wheelbarrow,
2026-04-21,PLA,Philip Larkin,This Be The Verse,
2026-04-22,MH,Gerard Manley Hopkins,God's Grandeur,
2026-04-23,MO,Mary Oliver,Wild Geese,
2026-04-24,JK,John Keats,Ode on a Grecian Urn,
2026-04-25,WY,William Butler Yeats,The Second Coming,
2026-04-26,CB,Charles Bukowski,bluebird,
2026-04-27,ESR,Edna St. Vincent Millay,Recuerdo,
2026-04-28,AP,Edgar Allen Poe,Annabel Lee,
2026-04-29,SH,Seamus Heaney,Digging,
2026-04-30,KG,Khalil Gibran,On Marriage,
2026-05-01,ESM,Edna St. Vincent Millay,First Fig,
2026-05-02,RHA,Robert Hayden,Those Winter Sundays,
2026-05-03,AP,Edgar Allen Poe,Annabel Lee,
2026-05-04,PLA,Philip Larkin,This Be The Verse,
2026-05-05,WBL,William Blake,The Lamb,
2026-05-06,CM,Claude McKay,If We Must Die,
2026-05-07,WC,William Carlos Williams,This Is Just to Say,
2026-05-08,SPH,Sappho,"[""I asked myself""]",
2026-05-09,SH,Seamus Heaney,Digging,
2026-05-10,LYL,Li-Young Lee,Persimmons,
2026-05-11,JK,John Keats,Ode on a Grecian Urn,
2026-05-12,AR,Adrienne Rich,Aunt Jennifer's Tigers,
2026-05-13,ED,Emily Dickinson,I’m Nobody! Who are you? (260),
2026-05-14,MH,Gerard Manley Hopkins,God's Grandeur,
2026-05-15,CK,Carole King,I Feel the Earth Move,
2026-05-16,RK,Rupi Kaur,milk and honey,
2026-05-17,LH,Langston Hughes,Weary Blues,
2026-05-18,LB,Lord Byron,She Walks in Beauty,
2026-05-19,ESR,Edna St. Vincent Millay,Recuerdo,
2026-05-20,CB,Charles Bukowski,bluebird,
2026-05-21,WY,William Butler Yeats,The Second Coming,
2026-05-22,MO,Mary Oliver,Wild Geese,
2026-05-23,AG,Toni Morrison,Beloved,
2026-05-24,PS,Percy Shelley,Ozymandias,
2026-05-25,WW,William Wordsworth,I wandered Lonely as a Cloud,
2026-05-26,EB,Elizabeth Bishop,One Art,
2026-05-27,WR,Ernest Dowson,Vitae Summa Brevis Spem Nos Vetat Incohare Longam,
2026-05-28,KG,Khalil Gibran,On Marriage,
2026-05-29,EDF,Emily Dickinson,I heard a Fly buzz - when I died -,
2026-05-30,THG,Ted Hughes,The Thought-Fox,
2026-05-31,PW,Billy Collins,Cheerios,
2026-06-01,DT,Dylan Thomas,Do Not Go Gentle Into That Good Night,
2026-06-02,SP,Sylvia Plath,Lady Lazarus,
2026-06-03,MA,Maya Angelou,Still I Rise,
2026-06-04,LCL,Lucille Clifton,homage to my hips,
2026-06-05,PLS,Paul Laurence Dunbar,Sympathy,
2026-06-06,AMG,Amanda Gorman,The Hill We Climb,
2026-06-07,SC,Samuel Taylor Coleridge,Kubla Khan,
2026-06-08,EBB,Elizabeth Barrett Browning,How Do I Love Thee? (Sonnet 43),
2026-06-09,APh,Alexander Pope,An Essay on Man,
2026-06-10,RBU,Robert Burns,Auld Lang Syne,
2026-06-11,WAM,W.H. Auden,In Memory of W.B. Yeats,
2026-06-12,MO,Mary Oliver,Wild Geese,
2026-06-13,RF,Robert Frost,Stopping By Woods on a Snowy Evening,
2026-06-14,JM,John Milton,On the Morning of Christ's Nativity,
2026-06-15,SS,Stevie Smith,Not Waving But Drowning,
2026-06-16,FO,Frank O'Hara,Having a Coke With You,
2026-06-17,MM,Marianne Moore,Poetry,
2026-06-18,JWJ,James Weldon Johnson,The Creation,
2026-06-19,TS,T.S. Eliot,The Hollow Men,
2026-06-20,EC,E.E. Cummings,anyone lived in a pretty how town,
2026-06-21,CM,Claude McKay,If We Must Die,
2026-06-22,LH,Langston Hughes,Weary Blues,
2026-06-23,SH,Seamus Heaney,Digging,
2026-06-24,AR,Adrienne Rich,Aunt Jennifer's Tigers,
2026-06-25,PLA,Philip Larkin,This Be The Verse,
2026-06-26,WB,William Blake,The Tyger,
2026-06-27,ESM,Edna St. Vincent Millay,First Fig,
2026-06-28,KG,Khalil Gibran,On Marriage,
2026-06-29,CB,Charles Bukowski,bluebird,
2026-06-30,PS,Percy Shelley,Ozymandias,
2026-07-01,,,,
2026-07-02,,,,
2026-07-03,,,,
2026-07-04,,,,
2026-07-05,,,,
2026-07-06,,,,
2026-07-07,,,,
2026-07-08,,,,
2026-07-09,,,,
2026-07-10,,,,
2026-07-11,,,,
2026-07-12,,,,
2026-07-13,,,,
2026-07-14,,,,
2026-07-15,,,,
2026-07-16,,,,
2026-07-17,,,,
2026-07-18,,,,
2026-07-19,,,,
2026-07-20,,,,
2026-07-21,,,,
2026-07-22,,,,
2026-07-23,,,,
2026-07-24,,,,
2026-07-25,,,,
2026-07-26,,,,
2026-07-27,,,,
2026-07-28,,,,
2026-07-29,,,,
2026-07-30,,,,
2026-07-31,,,,
2026-08-01,,,,
2026-08-02,,,,
2026-08-03,,,,
2026-08-04,,,,
2026-08-05,,,,
2026-08-06,,,,
2026-08-07,,,,
2026-08-08,,,,
2026-08-09,,,,
2026-08-10,,,,
2026-08-11,,,,
2026-08-12,,,,
2026-08-13,,,,
2026-08-14,,,,
2026-08-15,,,,
2026-08-16,,,,
2026-08-17,,,,
2026-08-18,,,,
2026-08-19,,,,
2026-08-20,,,,
2026-08-21,,,,
2026-08-22,,,,
2026-08-23,,,,
2026-08-24,,,,
2026-08-25,,,,
2026-08-26,,,,
2026-08-27,,,,
2026-08-28,,,,
2026-08-29,,,,
2026-08-30,,,,
2026-08-31,,,,
2026-09-01,,,,
2026-09-02,,,,
2026-09-03,,,,
2026-09-04,,,,
2026-09-05,,,,
2026-09-06,,,,
2026-09-07,,,,
2026-09-08,,,,
2026-09-09,,,,
2026-09-10,,,,
2026-09-11,,,,
2026-09-12,,,,
2026-09-13,,,,
2026-09-14,,,,
2026-09-15,,,,
2026-09-16,,,,
2026-09-17,,,,
2026-09-18,,,,
2026-09-19,,,,
2026-09-20,,,,
2026-09-21,,,,
2026-09-22,,,,
2026-09-23,,,,
2026-09-24,,,,
2026-09-25,,,,
2026-09-26,,,,
2026-09-27,,,,
2026-09-28,,,,
2026-09-29,,,,
2026-09-30,,,,
2026-10-01,,,,
2026-10-02,,,,
2026-10-03,,,,
2026-10-04,,,,
2026-10-05,,,,
2026-10-06,,,,
2026-10-07,,,,
2026-10-08,,,,
2026-10-09,,,,
2026-10-10,,,,
2026-10-11,,,,
2026-10-12,,,,
2026-10-13,,,,
2026-10-14,,,,
2026-10-15,,,,
2026-10-16,,,,
2026-10-17,,,,
2026-10-18,,,,
2026-10-19,,,,
2026-10-20,,,,
2026-10-21,,,,
2026-10-22,,,,
2026-10-23,,,,
2026-10-24,,,,
2026-10-25,,,,
2026-10-26,,,,
2026-10-27,,,,
2026-10-28,,,,
2026-10-29,,,,
2026-10-30,,,,
2026-10-31,,,,
2026-11-01,,,,
2026-11-02,,,,
2026-11-03,,,,
2026-11-04,,,,
2026-11-05,,,,
2026-11-06,,,,
2026-11-07,,,,
2026-11-08,,,,
2026-11-09,,,,
2026-11-10,,,,
2026-11-11,,,,
2026-11-12,,,,
2026-11-13,,,,
2026-11-14,,,,
2026-11-15,,,,
2026-11-16,,,,
2026-11-17,,,,
2026-11-18,,,,
2026-11-19,,,,
2026-11-20,,,,
2026-11-21,,,,
2026-11-22,,,,
2026-11-23,,,,
2026-11-24,,,,
2026-11-25,,,,
2026-11-26,,,,
2026-11-27,,,,
2026-11-28,,,,
2026-11-29,,,,
2026-11-30,,,,
2026-12-01,,,,
2026-12-02,,,,
2026-12-03,,,,
2026-12-04,,,,
2026-12-05,,,,
2026-12-06,,,,
2026-12-07,,,,
2026-12-08,,,,
2026-12-09,,,,
2026-12-10,,,,
2026-12-11,,,,
2026-12-12,,,,
2026-12-13,,,,
2026-12-14,,,,
2026-12-15,,,,
2026-12-16,,,,
2026-12-17,,,,
2026-12-18,,,,
2026-12-19,,,,
2026-12-20,,,,
2026-12-21,,,,
2026-12-22,,,,
2026-12-23,,,,
2026-12-24,,,,
2026-12-25,,,,
2026-12-26,,,,
2026-12-27,,,,
2026-12-28,,,,
2026-12-29,,,,
2026-12-30,,,,
2026-12-31,,,,
2027-01-01,,,,
2027-01-02,,,,
2027-01-03,,,,
2027-01-04,,,,
2027-01-05,,,,
2027-01-06,,,,
2027-01-07,,,,
2027-01-08,,,,
2027-01-09,,,,
2027-01-10,,,,
2027-01-11,,,,
2027-01-12,,,,
2027-01-13,,,,
2027-01-14,,,,
2027-01-15,,,,
2027-01-16,,,,
2027-01-17,,,,
2027-01-18,,,,
2027-01-19,,,,
2027-01-20,,,,
2027-01-21,,,,
2027-01-22,,,,
2027-01-23,,,,
2027-01-24,,,,
2027-01-25,,,,
2027-01-26,,,,
2027-01-27,,,,
2027-01-28,,,,
2027-01-29,,,,
2027-01-30,,,,
2027-01-31,,,,
2027-02-01,,,,
2027-02-02,,,,
2027-02-03,,,,
2027-02-04,,,,
2027-02-05,,,,
2027-02-06,,,,
2027-02-07,,,,
2027-02-08,,,,
2027-02-09,,,,
2027-02-10,,,,
2027-02-11,,,,
2027-02-12,,,,
2027-02-13,,,,
2027-02-14,,,,
2027-02-15,,,,
2027-02-16,,,,
2027-02-17,,,,
2027-02-18,,,,
2027-02-19,,,,
2027-02-20,,,,
2027-02-21,,,,
2027-02-22,,,,
2027-02-23,,,,
2027-02-24,,,,
2027-02-25,,,,
2027-02-26,,,,
2027-02-27,,,,
2027-02-28,,,,
2027-03-01,,,,
2027-03-02,,,,
2027-03-03,,,,
2027-03-04,,,,
2027-03-05,,,,
2027-03-06,,,,
2027-03-07,,,,
2027-03-08,,,,
2027-03-09,,,,
2027-03-10,,,,
2027-03-11,,,,
2027-03-12,,,,
2027-03-13,,,,
2027-03-14,,,,
2027-03-15,,,,
2027-03-16,,,,
2027-03-17,,,,
2027-03-18,,,,
2027-03-19,,,,
2027-03-20,,,,
2027-03-21,,,,
2027-03-22,,,,
2027-03-23,,,,
2027-03-24,,,,
2027-03-25,,,,
2027-03-26,,,,
2027-03-27,,,,
2027-03-28,,,,
2027-03-29,,,,
2027-03-30,,,,
2027-03-31,,,,
2027-04-01,,,,
2027-04-02,,,,
2027-04-03,,,,
2027-04-04,,,,
2027-04-05,,,,
2027-04-06,,,,
2027-04-07,,,,
2027-04-08,,,,
2027-04-09,,,,
2027-04-10,,,,
2027-04-11,,,,
2027-04-12,,,,
2027-04-13,,,,
2027-04-14,,,,
2027-04-15,,,,
2027-04-16,,,,
2027-04-17,,,,
2027-04-18,,,,
2027-04-19,,,,
2027-04-20,,,,
2027-04-21,,,,
2027-04-22,,,,
2027-04-23,,,,
2027-04-24,,,,
2027-04-25,,,,
2027-04-26,,,,
2027-04-27,,,,
2027-04-28,,,,
2027-04-29,,,,
2027-04-30,,,,
2027-05-01,,,,
2027-05-02,,,,
2027-05-03,,,,
2027-05-04,,,,
2027-05-05,,,,
2027-05-06,,,,
2027-05-07,,,,
2027-05-08,,,,
2027-05-09,,,,
2027-05-10,,,,
2027-05-11,,,,
2027-05-12,,,,
2027-05-13,,,,
2027-05-14,,,,
2027-05-15,,,,
2027-05-16,,,,
2027-05-17,,,,
2027-05-18,,,,
2027-05-19,,,,
2027-05-20,,,,
2027-05-21,,,,
2027-05-22,,,,
2027-05-23,,,,
2027-05-24,,,,
2027-05-25,,,,
2027-05-26,,,,
2027-05-27,,,,
2027-05-28,,,,
2027-05-29,,,,
2027-05-30,,,,
2027-05-31,,,,
2027-06-01,,,,
2027-06-02,,,,
2027-06-03,,,,
2027-06-04,,,,
2027-06-05,,,,
2027-06-06,,,,
2027-06-07,,,,
2027-06-08,,,,
2027-06-09,,,,
2027-06-10,,,,
2027-06-11,,,,
2027-06-12,,,,
2027-06-13,,,,
2027-06-14,,,,
2027-06-15,,,,
2027-06-16,,,,
2027-06-17,,,,
2027-06-18,,,,
2027-06-19,,,,
2027-06-20,,,,
2027-06-21,,,,
2027-06-22,,,,
2027-06-23,,,,
2027-06-24,,,,
2027-06-25,,,,
2027-06-26,,,,
2027-06-27,,,,
2027-06-28,,,,
2027-06-29,,,,
2027-06-30,,,,
2027-07-01,,,,
2027-07-02,,,,
2027-07-03,,,,
2027-07-04,,,,
2027-07-05,,,,
2027-07-06,,,,
2027-07-07,,,,
2027-07-08,,,,
2027-07-09,,,,
2027-07-10,,,,
2027-07-11,,,,
2027-07-12,,,,
2027-07-13,,,,
2027-07-14,,,,
2027-07-15,,,,
2027-07-16,,,,
2027-07-17,,,,
2027-07-18,,,,
2027-07-19,,,,
2027-07-20,,,,
2027-07-21,,,,
2027-07-22,,,,
2027-07-23,,,,
2027-07-24,,,,
2027-07-25,,,,
2027-07-26,,,,
2027-07-27,,,,
2027-07-28,,,,
2027-07-29,,,,
2027-07-30,,,,
2027-07-31,,,,
2027-08-01,,,,
2027-08-02,,,,
2027-08-03,,,,
2027-08-04,,,,
2027-08-05,,,,
2027-08-06,,,,
2027-08-07,,,,
2027-08-08,,,,
2027-08-09,,,,
2027-08-10,,,,
2027-08-11,,,,
2027-08-12,,,,
2027-08-13,,,,
2027-08-14,,,,
2027-08-15,,,,
2027-08-16,,,,
2027-08-17,,,,
2027-08-18,,,,
2027-08-19,,,,
2027-08-20,,,,
2027-08-21,,,,
2027-08-22,,,,
2027-08-23,,,,
2027-08-24,,,,
2027-08-25,,,,
2027-08-26,,,,
2027-08-27,,,,
2027-08-28,,,,
2027-08-29,,,,
2027-08-30,,,,
2027-08-31,,,,
2027-09-01,,,,
2027-09-02,,,,
2027-09-03,,,,
2027-09-04,,,,
2027-09-05,,,,
2027-09-06,,,,
2027-09-07,,,,
2027-09-08,,,,
2027-09-09,,,,
2027-09-10,,,,
2027-09-11,,,,
2027-09-12,,,,
2027-09-13,,,,
2027-09-14,,,,
2027-09-15,,,,
2027-09-16,,,,
2027-09-17,,,,
2027-09-18,,,,
2027-09-19,,,,
2027-09-20,,,,
2027-09-21,,,,
2027-09-22,,,,
2027-09-23,,,,
2027-09-24,,,,
2027-09-25,,,,
2027-09-26,,,,
2027-09-27,,,,
2027-09-28,,,,
2027-09-29,,,,
2027-09-30,,,,
2027-10-01,,,,
2027-10-02,,,,
2027-10-03,,,,
2027-10-04,,,,
2027-10-05,,,,
2027-10-06,,,,
2027-10-07,,,,
