code,name,birth_year,death_year,title,first_line
DD,Don Delillo,1936,,White Noise,"The station wagons arrived at noon, a long shining line that coursed through the west campus.
    In single file they eased around the orange I-beam sculpture and moved toward the dormitories.
    The roofs of the station wagons were loaded down with carefully secured suitcases full of light and heavy clothing;
    with boxes of blankets, boots and shoes, stationery and books, sheets, pillows, quilts; with rolled-up rugs and sleeping bags;
    with bicycles, skis, rucksacks, English and Western saddles, inflated rafts.
    As cars slowed to a crawl and stopped, students sprang out and raced to the rear doors to begin removing the objects inside; the stereo sets, radios, personal computers; small refrigerators and table ranges; the cartons of phonograph records and cassettes; the hairdryers and styling irons;
    the tennis rackets, soccer balls, hockey and lacrosse sticks, bows and arrows; the controlled substances, the birth control pills and devices; the junk food still in shopping bags--onion-and-garlic chips, nacho thins, peanut creme patties, Waffelos and Kabooms, fruit chews and toffee popcorn; the Dum-Dum pops, the Mystic mints."
EE,E.E. Cummings,1894,1962,[little tree],"little tree
little silent Christmas tree
you are so little
you are more like a flower
who found you in the green forest
and were you very sorry to come away?
see          i will comfort you
because you smell so sweetly

i will kiss your cool bark
and hug you safe and tight
just as your mother would,"
EC,E.E. Cummings,1894,1962,anyone lived in a pretty how town,"anyone lived in a pretty how town
(with up so floating many bells down)
spring summer autumn winter
he sang his didn’t he danced his did.

Women and men(both little and small)
cared for anyone not at all"
AP,Edgar Allen Poe,1809,1849,Annabel Lee,"It was many and many a year ago,
   In a kingdom by the sea,
That a maiden there lived whom you may know
   By the name of Annabel Lee;
And this maiden she lived with no other thought
   Than to love and be loved by me."
EP,Edgar Allen Poe,1809,1849,The Raven,"Once upon a midnight dreary, while I pondered, weak and weary,
Over many a quaint and curious volume of forgotten lore—
    While I nodded, nearly napping, suddenly there came a tapping,
As of some one gently rapping, rapping at my chamber door.
“’Tis some visitor,” I muttered, “tapping at my chamber door—
            Only this and nothing more.”"
EM,Edna St. Vincent Millay,1892,1950,"What lips my lips have kissed, and where, and why","What lips my lips have kissed, and where, and why,
I have forgotten, and what arms have lain
Under my head till morning; but the rain
Is full of ghosts tonight, that tap and sigh
Upon the glass and listen for reply,
And in my heart there stirs a quiet pain
For unremembered lads that not again
Will turn to me at midnight with a cry."
EB,Elizabeth Barrett Browning,1806,1861,How Do I Love Thee? (Sonnet 43),"How do I love thee? Let me count the ways.
I love thee to the depth and breadth and height
My soul can reach, when feeling out of sight
For the ends of being and ideal grace.
I love thee to the level of every day’s
Most quiet need, by sun and candle-light.
I love thee freely, as men strive for right.
I love thee purely, as they turn from praise.
I love thee with the passion put to use
In my old griefs, and with my childhood’s faith.
I love thee with a love I seemed to lose
With my lost saints. I love thee with the breath,
Smiles, tears, of all my life; and, if God choose,
I shall but love thee better after death."
EB,Elizabeth Bishop,1911,1979,One Art,"The art of losing isn’t hard to master;
so many things seem filled with the intent
to be lost that their loss is no disaster.

Lose something every day. Accept the fluster
of lost door keys, the hour badly spent.
The art of losing isn’t hard to master.

Then practice losing farther, losing faster:
places, and names, and where it was you meant
to travel. None of these will bring disaster."
ED,Emily Dickinson,1830,1886,I’m Nobody! Who are you? (260),"I’m Nobody! Who are you?
Are you – Nobody – too?
Then there’s a pair of us!
Don't tell! they'd advertise – you know!
How dreary – to be – Somebody!
How public – like a Frog –
To tell one’s name – the livelong June –
To an admiring Bog!"
EDF,Emily Dickinson,1830,1886,I heard a Fly buzz - when I died -,"I heard a Fly buzz - when I died -
The Stillness in the Room
Was like the Stillness in the Air -
Between the Heaves of Storm -

The Eyes around - had wrung them dry -
And Breaths were gathering firm
For that last Onset - when the King
Be witnessed - in the Room -"
EH,Emily Dickinson,1830,1886,“Hope” is the thing with feathers,"“Hope” is the thing with feathers -
That perches in the soul -
And sings the tune without the words -
And never stops - at all -

And sweetest - in the Gale - is heard -
And sore must be the storm -
That could abash the little Bird
That kept so many warm -"
WR,Ernest Dowson,1867,1900,Vitae Summa Brevis Spem Nos Vetat Incohare Longam,"They are not long, the weeping and the laughter,
Love and desire and hate:
I think they have no portion in us after
We pass the gate.

They are not long, the days of wine and roses:
Out of a misty dream
Our path emerges for a while, then closes
Within a dream."
EP,Ezra Pound,1885,1972,In a Station of the Metro,"In a Station of the Metro 
The apparition of these faces in the crowd:
Petals on a wet, black bough."
GC,Geoffrey Chaucer,1340,1400,"The Canterbury Tales, Prologue","Whan that Aprille with his shoures soote,
The droghte of March hath perced to the roote,
And bathed every veyne in swich licóur
Of which vertú engendred is the flour;
Whan Zephirus eek with his swete breeth
Inspired hath in every holt and heeth
The tendre croppes, and the yonge sonne
Hath in the Ram his halfe cours y-ronne,"
MH,Gerard Manley Hopkins,1844,1889,God's Grandeur,"The world is charged with the grandeur of God.
    It will flame out, like shining from shook foil;
    It gathers to a greatness, like the ooze of oil
Crushed. Why do men then now not reck his rod?
Generations have trod, have trod, have trod;
    And all is seared with trade; bleared, smeared with toil;
    And wears man's smudge and shares man's smell: the soil
Is bare now, nor can foot feel, being shod."
GS,Gertrude Stein,1874,1946,Sacred Emily,"Color mahogany.
Color mahogany center.
Rose is a rose is a rose is a rose.
Loveliness extreme.
Extra gaiters.
Loveliness extreme.
Sweetest ice-cream.
Page ages page ages page ages.
Wiped Wiped wire wire.
Sweeter than peaches and pears and cream."
GB,Gwendolyn Brooks,1917,2000,We Real Cool,"We real cool. We   
Left school. We

Lurk late. We
Strike straight. We

Sing sin. We   
Thin gin. We

Jazz June. We   
Die soon."
BG,Gwendolyn Brooks,1917,2000,The Bean Eaters,"They eat beans mostly, this old yellow pair.   
Dinner is a casual affair.
Plain chipware on a plain and creaking wood,   
Tin flatware.

Two who are Mostly Good.
Two who have lived their day,
But keep on putting on their clothes   
And putting things away."
HL,Henry Wadsworth Longfellow,1807,1882,The Song of Hiawatha,"By the shore of Gitche Gumee,
By the shining Big-Sea-Water,
At the doorway of his wigwam,
In the pleasant Summer morning,
Hiawatha stood and waited.
All the air was full of freshness,
All the earth was bright and joyous,
And before him, through the sunshine,
Westward toward the neighboring forest
Passed in golden swarms the Ahmo,
Passed the bees, the honey-makers,
Burning, singing in the sunshine."
AF,Jane Austen,1775,1817,Pride and Prejudice,"It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife.
However little known the feelings or views of such a man may be on his first entering a neighbourhood, this truth is so well fixed in the minds of the surrounding families, that he is considered the rightful property of some one or other of their daughters.
""My dear Mr. Bennet,"" said his lady to him one day, ""have you heard that Netherfield Park is let at last?""
Mr. Bennet replied that he had not.
""But it is,"" returned she; ""for Mrs. Long has just been here, and she told me all about it.""
Mr. Bennet made no answer."
JD,John Donne,1572,1631,A Valediction: Forbidding Mourning,"Our two souls therefore, which are one,
   Though I must go, endure not yet
A breach, but an expansion,
   Like gold to airy thinness beat.
If they be two, they are two so
   As stiff twin compasses are two;
Thy soul, the fixed foot, makes no show
   To move, but doth, if the other do.

And though it in the center sit,
   Yet when the other far doth roam,
It leans and hearkens after it,
   And grows erect, as that comes home.

Such wilt thou be to me, who must,
   Like th' other foot, obliquely run;
Thy firmness makes my circle just,
   And makes me end where I begun."
HS,John Donne,1572,1631,"Holy Sonnets: Death, be not proud","Death, be not proud, though some have called thee
Mighty and dreadful, for thou art not so;
For those whom thou think'st thou dost overthrow
Die not, poor Death, nor yet canst thou kill me.
From rest and sleep, which but thy pictures be,
Much pleasure; then from thee much more must flow,
And soonest our best men with thee do go,
Rest of their bones, and soul's delivery."
JK,John Keats,1795,1821,Ode on a Grecian Urn,"Thou, silent form, dost tease us out of thought
As doth eternity: Cold Pastoral!
         When old age shall this generation waste,
                Thou shalt remain, in midst of other woe
Than ours, a friend to man, to whom thou say'st,
         ""Beauty is truth, truth beauty,—that is all
                Ye know on earth, and all ye need to know."
JM,John Milton,1608,1674,On the Morning of Christ's Nativity,"This is the month, and this the happy morn,
      Wherein the Son of Heav'n's eternal King,
Of wedded Maid, and Virgin Mother born,
      Our great redemption from above did bring;
      For so the holy sages once did sing,
            That he our deadly forfeit should release,
            And with his Father work us a perpetual peace."
JMD,John Milton,1608,1674,Paradise Lost: Book 1,"OF Mans First Disobedience, and the Fruit
Of that Forbidden Tree, whose mortal tast
Brought Death into the World, and all our woe,
With loss of Eden, till one greater Man
Restore us, and regain the blissful Seat,
Sing Heav'nly Muse, that on the secret top
Of Oreb, or of Sinai, didst inspire
That Shepherd, who first taught the chosen Seed,"
KG,Khalil Gibran,1883,1931,On Marriage,"Love one another, but make not a bond
of love:
     Let it rather be a moving sea between
the shores of your souls.
     Fill each other’s cup but drink not from
one cup.
     Give one another of your bread but eat
not from the same loaf.
     Sing and dance together and be joyous,
but let each one of you be alone,
     Even as the strings of a lute are alone
though they quiver with the same music."
LH,Langston Hughes,1902,1967,Harlem,"What happens to a dream deferred?

      Does it dry up
      like a raisin in the sun?
      Or fester like a sore—
      And then run?
      Does it stink like rotten meat?
      Or crust and sugar over—
      like a syrupy sweet?

      Maybe it just sags
      like a heavy load.

      Or does it explode?"
HL,Langston Hughes,1902,1967,The Weary Blues,"Thump, thump, thump, went his foot on the floor.
He played a few chords then he sang some more—
“I got the Weary Blues
And I can’t be satisfied.
Got the Weary Blues
And can’t be satisfied—
I ain’t happy no mo’
And I wish that I had died.”
And far into the night he crooned that tune.
The stars went out and so did the moon.
The singer stopped playing and went to bed
While the Weary Blues echoed through his head.
He slept like a rock or a man that’s dead."
LC,Lewis Carroll,1832,1898,The Jabberwocky,"’Twas brillig, and the slithy toves
      Did gyre and gimble in the wabe:
All mimsy were the borogoves,
      And the mome raths outgrabe.

“Beware the Jabberwock, my son!
      The jaws that bite, the claws that catch!"
LB,Lord Byron,1788,1824,She Walks in Beauty,"She walks in beauty, like the night
Of cloudless climes and starry skies;
And all that’s best of dark and bright
Meet in her aspect and her eyes;
Thus mellowed to that tender light
Which heaven to gaudy day denies."
MA,Maya Angelou,1928,2014,Still I Rise,"Leaving behind nights of terror and fear
I rise
Into a daybreak that's wondrously clear
I rise
Bringing the gifts that my ancestors gave,
I am the dream and the hope of the slave.
I rise
I rise
I rise."
PL,Paul Laurence Dunbar,1872,1906,We Wear the Mask,"We wear the mask that grins and lies,
It hides our cheeks and shades our eyes,—
This debt we pay to human guile;
With torn and bleeding hearts we smile,
And mouth with myriad subtleties.

Why should the world be over-wise,
In counting all our tears and sighs?
Nay, let them only see us, while
       We wear the mask."
PS,Percy Shelley,1792,1822,Ozymandias,"I met a traveller from an antique land,
Who said—“Two vast and trunkless legs of stone
Stand in the desert. . . . Near them, on the sand,
Half sunk a shattered visage lies, whose frown,
And wrinkled lip, and sneer of cold command,
Tell that its sculptor well those passions read
Which yet survive, stamped on these lifeless things,
The hand that mocked them, and the heart that fed;
And on the pedestal, these words appear:
My name is Ozymandias, King of Kings;
Look on my Works, ye Mighty, and despair!"
RB,Robert Browning,1812,1889,My Last Duchess,"That’s my last Duchess painted on the wall,
Looking as if she were alive. I call
That piece a wonder, now; Fra Pandolf’s hands
Worked busily a day, and there she stands.
Will’t please you sit and look at her? I said
“Fra Pandolf” by design, for never read
Strangers like you that pictured countenance,
The depth and passion of its earnest glance,
But to myself they turned (since none puts by
The curtain I have drawn for you, but I)"
RF,Robert Frost,1874,1963,Stopping By Woods on a Snowy Evening,"He gives his harness bells a shake
To ask if there is some mistake.
The only other sound's the sweep
Of easy wind and downy flake.

The woods are lovely, dark and deep.
But I have promises to keep,
And miles to go before I sleep,
And miles to go before I sleep."
FR,Robert Frost,1874,1963,Mending Wall,"He is all pine and I am apple orchard.
My apple trees will never get across
And eat the cones under his pines, I tell him.
He only says, ‘Good fences make good neighbors.’
Spring is the mischief in me, and I wonder
If I could put a notion in his head:
‘Why do they make good neighbors? Isn’t it
Where there are cows? But here there are no cows."
RN,Robert Frost,1874,1963,The Road Not Taken,"Yet knowing how way leads on to way,
I doubted if I should ever come back.

I shall be telling this with a sigh
Somewhere ages and ages hence:
Two roads diverged in a wood, and I—
I took the one less traveled by,
And that has made all the difference."
SC,Samuel Taylor Coleridge,1772,1834,Kubla Khan,"In Xanadu did Kubla Khan
A stately pleasure-dome decree:
Where Alph, the sacred river, ran
Through caverns measureless to man
   Down to a sunless sea.
So twice five miles of fertile ground
With walls and towers were girdled round;
And there were gardens bright with sinuous rills,
Where blossomed many an incense-bearing tree;"
SSS,Shel Silverstein,1930,1999,Falling Up,"I tripped on my shoelace
And I fell up—
Up to the roof tops,
Up over town,
Up past the tree tops,
Up over the mountains,
Up where the colors
Blend into the sounds.
But it got me so dizzy
When I looked around,

I got sick to my stomach

And I threw down."
SP,Sylvia Plath,1932,1963,Lady Lazarus,"A cake of soap,
A wedding ring,
A gold filling.
Herr God, Herr Lucifer
Beware
Beware.
Out of the ash
I rise with my red hair
And I eat men like air."
PS,Sylvia Plath,1932,1963,Daddy,"Daddy, I have had to kill you.   
You died before I had time——
Marble-heavy, a bag full of God,   
Ghastly statue with one gray toe   
Big as a Frisco seal

And a head in the freakish Atlantic   
Where it pours bean green over blue   
In the waters off beautiful Nauset.   
I used to pray to recover you.
Ach, du."
TE,T.S. Eliot,1888,1965,The Love Song of J. Alfred Prufrock,"I grow old ... I grow old ...
I shall wear the bottoms of my trousers rolled.
Shall I part my hair behind?   Do I dare to eat a peach?
I shall wear white flannel trousers, and walk upon the beach.
I have heard the mermaids singing, each to each.
I do not think that they will sing to me.
I have seen them riding seaward on the waves
Combing the white hair of the waves blown back
When the wind blows the water white and black.
We have lingered in the chambers of the sea
By sea-girls wreathed with seaweed red and brown
Till human voices wake us, and we drown."
TS,T.S. Eliot,1888,1965,The Waste Land,"April is the cruellest month, breeding
Lilacs out of the dead land, mixing
Memory and desire, stirring
Dull roots with spring rain.
Winter kept us warm, covering
Earth in forgetful snow, feeding
A little life with dried tubers."
AG,Toni Morrison,1931,2019,Beloved,"“Your love is too thick,” he said, thinking,
    That bitch is looking at me; she is right over my head looking down through the floor at me.
    “Too thick?”she said, thinking of the Clearing where Baby Suggs’ commands knocked the pods off horse chestnuts.
    “Love is or it ain’t. Thin love ain’t love at all.”
    “Yeah. It didn’t work, did it? Did it work?” he asked.
“It worked,” she said."
ST,Tupac Shakur,1971,1996,The Rose That Grew from Concrete,"Did you hear about the rose that grew
from a crack in the concrete?
Proving nature's law is wrong it
learned to walk with out having feet.
Funny it seems, but by keeping its dreams,
it learned to breathe fresh air.
Long live the rose that grew from concrete
when no one else ever cared."
AU,W.H. Auden,1907,1973,Twelve Songs: IX,"Stop all the clocks, cut off the telephone,
Prevent the dog from barking with a juicy bone,
Silence the pianos and with muffled drum
Bring out the coffin, let the mourners come.

Let aeroplanes circle moaning overhead
Scribbling on the sky the message He Is Dead
Put crepe bows round the white necks of the public doves,
Let the traffic policemen wear black cotton gloves.

He was my North, my South, my East and West,
My working week and my Sunday rest,
My noon, my midnight, my talk, my song;
I thought that love would last for ever: I was wrong."
WH,W.H. Auden,1907,1973,Musée des Beaux Arts,"About suffering they were never wrong,
The Old Masters: how well they understood
Its human position; how it takes place
While someone else is eating or opening a window or just walking dully along

How, when the aged are reverently, passionately waiting
For the miraculous birth, there always must be
Children who did not specially want it to happen, skating
On a pond at the edge of the wood:
They never forgot
That even the dreadful martyrdom must run its course
Anyhow in a corner, some untidy spot
Where the dogs go on with their doggy life and the torturer's horse
Scratches its innocent behind on a tree."
WSJ,Wallace Stevens,1879,1955,Anecdote of the Jar,"I placed a jar in Tennessee,   
And round it was, upon a hill.   
It made the slovenly wilderness   
Surround that hill.

The wilderness rose up to it,
And sprawled around, no longer wild.   
The jar was round upon the ground   
And tall and of a port in air."
WA,Walt Whitman,1819,1892,Song of Myself,"I celebrate myself, and sing myself,
And what I assume you shall assume,
For every atom belonging to me as good belongs to you.

I loafe and invite my soul,
I lean and loafe at my ease observing a spear of summer grass.

My tongue, every atom of my blood, form’d from this soil, this air,
Born here of parents born here from parents the same, and their parents the same,
I, now thirty-seven years old in perfect health begin,
Hoping to cease not till death."
OC,Walt Whitman,1819,1892,O Captain! My Captain!,"O Captain! my Captain! our fearful trip is done,
The ship has weather’d every rack, the prize we sought is won,
The port is near, the bells I hear, the people all exulting,
While follow eyes the steady keel, the vessel grim and daring;
                         But O heart! heart! heart!
                            O the bleeding drops of red,
                               Where on the deck my Captain lies,
                                  Fallen cold and dead."
WB,William Blake,1757,1827,The Tyger,"Tyger Tyger, burning bright,
In the forests of the night;
What immortal hand or eye,
Could frame thy fearful symmetry?
In what distant deeps or skies.
Burnt the fire of thine eyes?
On what wings dare he aspire?
What the hand, dare seize the fire?"
WBL,William Blake,1757,1827,The Lamb,"Little Lamb who made thee 
         Dost thou know who made thee 
Gave thee life & bid thee feed. 
By the stream & o'er the mead;
Gave thee clothing of delight,
Softest clothing wooly bright;
Gave thee such a tender voice,
Making all the vales rejoice!"
WY,William Butler Yeats,1865,1939,The Second Coming,"Turning and turning in the widening gyre
The falcon cannot hear the falconer;
Things fall apart; the centre cannot hold;
Mere anarchy is loosed upon the world,
The blood-dimmed tide is loosed, and everywhere
The ceremony of innocence is drowned;
The best lack all conviction, while the worst
Are full of passionate intensity."
WYC,William Butler Yeats,1865,1939,Sailing to Byzantium,"That is no country for old men. The young
In one another's arms, birds in the trees,
—Those dying generations—at their song,
The salmon-falls, the mackerel-crowded seas,
Fish, flesh, or fowl, commend all summer long
Whatever is begotten, born, and dies."
TB,William Butler Yeats,1865,1939,"Easter, 1916","MacDonagh and MacBride   
And Connolly and Pearse
Now and in time to be,
Wherever green is worn,
Are changed, changed utterly:   
A terrible beauty is born."
CW,William Carlos Williams,1883,1963,The Red Wheelbarrow,"so much depends
upon

a red wheel
barrow

glazed with rain
water

beside the white
chickens"
WC,William Carlos Williams,1883,1963,This Is Just To Say,"I have eaten
the plums
that were in
the icebox

and which
you were probably
saving
for breakfast"
WS,William Shakespeare,1564,1616,Sonnet 97: How like a winter hath my absence been,"How like a winter hath my absence been
From thee, the pleasure of the fleeting year!
What freezings have I felt, what dark days seen!
What old December's bareness everywhere!
And yet this time remov'd was summer's time,
The teeming autumn, big with rich increase,
Bearing the wanton burthen of the prime,
Like widow'd wombs after their lords' decease:
Yet this abundant issue seem'd to me
But hope of orphans and unfather'd fruit;
For summer and his pleasures wait on thee,
And thou away, the very birds are mute;
Or if they sing, 'tis with so dull a cheer
That leaves look pale, dreading the winter's near."
SS,William Shakespeare,1564,1616,Shall I compare thee to a summer’s day?,"Shall I compare thee to a summer’s day?
Thou art more lovely and more temperate:
Rough winds do shake the darling buds of May,
And summer’s lease hath all too short a date;
Sometime too hot the eye of heaven shines,
And often is his gold complexion dimm'd;
And every fair from fair sometime declines,
By chance or nature’s changing course untrimm'd;"
WW,William Wordsworth,1770,1850,I wandered Lonely as a Cloud,"I wandered lonely as a cloud
That floats on high o'er vales and hills,
When all at once I saw a crowd,
A host, of golden daffodils;
Beside the lake, beneath the trees,
Fluttering and dancing in the breeze."
MO,Mary Oliver,1935,2019,Wild Geese,"You do not have to be good.
You do not have to walk on your knees
for a hundred miles through the desert repenting.
You only have to let the soft animal of your body
love what it loves.
Tell me about despair, yours, and I will tell you mine.
Meanwhile the world goes on.
Meanwhile the sun and the clear pebbles of the rain
are moving across the landscapes,
over the prairies and the deep trees,
the mountains and the rivers.
Meanwhile the wild geese, high in the clean blue air,
are heading home again.
Whoever you are, no matter how lonely,
the world offers itself to your imagination,
calls to you like the wild geese, harsh and exciting -
over and over announcing your place
in the family of things."
BTL,The Beatles,1960,1970,All You Need Is Love,"There's nothing you can do that can't be done
Nothing you can sing that can't be sung
Nothing you can say, but you can learn
How to play the game
It's easy"
CK,Carole King,1942,,I Feel the Earth Move,"I feel the Earth move under my feet
I feel the sky tumblin' down
I feel my heart start to tremblin'
Whenever you're around
Ooh, baby, when I see your face
Mellow as the month of May
Oh, darlin', I can't stand it
When you look at me that way"
PR,Prince,1958,2016,Prince,"I never meant to cause you any sorrow
I never meant to cause you any pain
I only wanted one time to see you laughing
I only wanted to see you laughing in the purple rain
Purple rain, purple rain
Purple rain, purple rain
Purple rain, purple rain
I only wanted to see you bathing in the purple rain"
